,County,Vote Center ID,Address,City
266,CHATHAM,25040,169 WHITEMARSH ISLAND RD,SAVANNAH
267,CHATHAM,25042,22 ROSE AVENUE,SAVANNAH
268,CHATHAM,25044,5111 ABERCORN ST,SAVANNAH
269,CHATHAM,25045,1800 EAST DERENNE AVE,SAVANNAH
270,CHATHAM,25059,5201 MONTGOMERY ST,SAVANNAH
271,CHATHAM,25056,1000 LAKE SHORE BLVD,PORT WENTWORTH
272,CHATHAM,25046,430 TIBET AVE,SAVANNAH
273,CHATHAM,25048,1401 MILLS B LANE BLVD,SAVANNAH
274,CHATHAM,25054,401 QUARTERMAN RD,SAVANNAH
275,CHATHAM,25223,175 BOURNE AVE,SAVANNAH
276,CHATHAM,25050,1410 RICHARDS ST,SAVANNAH
277,CHATHAM,25111,5100 LA ROCHE AVE,SAVANNAH
278,CHATHAM,25001,2023 TENNESSEE AVE,SAVANNAH
279,CHATHAM,25135,7202 CENTRAL AVE,SAVANNAH
280,CHATHAM,25053,124 BULL ST,SAVANNAH
281,CHATHAM,25057,101 TURNBERRY ST,PORT WENTWORTH
282,CHATHAM,25107,100 COMMERCE CT,POOLER
283,CHATHAM,25222,900 S ROGERS ST,POOLER
284,CHATHAM,25058,5321 OGEECHEE ROAD,SAVANNAH
285,CHATHAM,25060,112 FELL ST,SAVANNAH
286,CHATHAM,25218,100 MULBERRY ST,PORT WENTWORTH
287,CHATHAM,25078,939 WHEATON ST,SAVANNAH
288,CHATHAM,25064,216 E ROTHWELL STREET,POOLER
289,CHATHAM,25043,2 SAINT THOMAS AVE,SAVANNAH
290,CHATHAM,25066,1599 CHATHAM PARKWAY,GARDEN CITY
291,CHATHAM,25067,400 PENNSYLVANIA AVENUE,SAVANNAH
292,CHATHAM,25077,707 LITTLE NECK ROAD,SAVANNAH
293,CHATHAM,25076,309 TIBET AVE,SAVANNAH
294,CHATHAM,25137,1950 CHATHAM PARKWAY,SAVANNAH
295,CHATHAM,25068,3025 BULL ST,SAVANNAH
296,CHATHAM,25052,4929 PINELAND DR,SAVANNAH
297,CHATHAM,25070,50 DIAMOND CAUSEWAY,SAVANNAH
298,CHATHAM,25071,54 DIAMOND CAUSEWAY,SAVANNAH
299,CHATHAM,25072,52 DIAMOND CAUSEWAY,SAVANNAH
300,CHATHAM,25074,5502 SKIDAWAY RD,SAVANNAH
301,CHATHAM,25112,1381 DEAN FOREST RD,SAVANNAH
302,CHATHAM,25007,9114 WHITEFIELD AVE,SAVANNAH
303,CHATHAM,25079,3 WESTRIDGE RD,SAVANNAH
304,CHATHAM,25081,590 WALTHOUR RD,SAVANNAH
305,CHATHAM,25073,5100 WATERS AVE,SAVANNAH
306,CHATHAM,25063,20 E GORDON ST,SAVANNAH
307,CHATHAM,25016,5411 SKIDAWAY RD,SAVANNAH
308,CHATHAM,25084,8511 WATERS AVE,SAVANNAH
309,CHATHAM,25083,3000 BEE RD,SAVANNAH
310,CHATHAM,25017,8912 WHITEFIELD AVENUE,SAVANNAH
311,CHATHAM,25085,2821 RIVER DR,THUNDERBOLT
312,CHATHAM,25088,2323 OGEECHEE RD,SAVANNAH
313,CHATHAM,25101,12391 MERCY BLVD,SAVANNAH
314,CHATHAM,25213,204 FIFTH ST,TYBEE ISLAND
315,CHATHAM,25091,909 EAST BOLTON ST,SAVANNAH
316,CHATHAM,25092,1110 MAY ST,SAVANNAH
317,CHATHAM,25038,10710 WHITE BLUFF RD,SAVANNAH
318,CHATHAM,25096,1900 LINCOLN STREET,SAVANNAH
319,CHATHAM,25098,450 NORTH CROMWELL RD,SAVANNAH
320,CHATHAM,25049,195 WILMINGTON ISLAND RD,SAVANNAH
321,CHATHAM,25099,12521 WHITE BLUFF RD,SAVANNAH
322,CHATHAM,25100,302 BRIARCLIFF CIRCLE,SAVANNAH
323,CHATHAM,25102,407 TALMADGE AVENUE,GARDEN CITY
324,CHATHAM,25087,50 COACH JOE TURNER RD,SAVANNAH
325,CHATTAHOOCHEE,26001,127 INDUSTRIAL PARK RD,CUSSETA
326,CHATTOOGA,27001,44 HIGHWAY 48,SUMMERVILLE
327,CHATTOOGA,27004,4868 HAYWOOD VALLEY RD,ARMUCHEE
328,CHATTOOGA,27005,9 GORE FIRE HALL RD,SUMMERVILLE
329,CHATTOOGA,27008,71 EDISON ST,MENLO
330,CHATTOOGA,27003,71 EDISON ST,MENLO
331,CHATTOOGA,27006,6086 HIGHWAY 114,LYERLY
332,CHATTOOGA,27009,6086 HIGHWAY 114,LYERLY
333,CHATTOOGA,27016,6086 HIGHWAY 114,LYERLY
334,CHATTOOGA,27002,6086 HIGHWAY 114,LYERLY
335,CHATTOOGA,27011,35 SUBLIGNA BAPTIST CHURCH RD,SUMMERVILLE
336,CHATTOOGA,27015,90 DALTON ST,TRION
337,CHATTOOGA,27013,90 DALTON ST,TRION
338,CHATTOOGA,27010,90 DALTON ST,TRION
339,CHEROKEE,28088,232 ARNOLD MILL RD,WOODSTOCK
340,CHEROKEE,28049,710 ARNOLD MILL RD,WOODSTOCK
341,CHEROKEE,28002,3045 CANTON HWY,BALL GROUND
342,CHEROKEE,28003,1335 WYNGATE PKWY,WOODSTOCK
343,CHEROKEE,28052,137 HIGHTOWER RD,BALL GROUND
344,CHEROKEE,28052,137 HIGHTOWER RD,BALL GROUND
345,CHEROKEE,28200,110 ACADEMY ST,CANTON
346,CHEROKEE,28054,2275 BASCOMB CARMEL RD,WOODSTOCK
347,CHEROKEE,28143,1001 UNIVETER RD,CANTON
348,CHEROKEE,28066,3219 HUNT RD,ACWORTH
349,CHEROKEE,28058,6550 PUTNAM FORD DR,WOODSTOCK
350,CHEROKEE,28059,9081 FINCHER RD,WALESKA
351,CHEROKEE,28137,1190 EVENFLO DR,BALL GROUND
352,CHEROKEE,28202,1 MISSION PT,CANTON
353,CHEROKEE,28019,1208 ROSE CREEK DR,WOODSTOCK
354,CHEROKEE,28020,311 GOSHEN CHURCH WAY,WALESKA
355,CHEROKEE,28203,2510 EAST CHEROKEE DR,WOODSTOCK
356,CHEROKEE,28022,2755 EAST CHEROKEE DR,CANTON
357,CHEROKEE,28133,4056 EAST CHEROKEE DRIVE,CANTON
358,CHEROKEE,28068,4474 TOWNE LAKE PKWY,WOODSTOCK
359,CHEROKEE,28025,1965 HICKORY RD,CANTON
360,CHEROKEE,28070,3235 HOLLY SPRINGS PKWY,HOLLY SPRINGS
361,CHEROKEE,28134,78 RIDGE ROAD,CANTON
362,CHEROKEE,28134,78 RIDGE ROAD,CANTON
363,CHEROKEE,28071,2031 EAST CHEROKEE DR,WOODSTOCK
364,CHEROKEE,28139,10500 BELLS FERRY RD,CANTON
365,CHEROKEE,28072,3170 TRICKUM RD,WOODSTOCK
366,CHEROKEE,28073,10370 EAST CHEROKEE DR,CANTON
367,CHEROKEE,28079,442 ARNOLD MILL RD,WOODSTOCK
368,CHEROKEE,28075,615 MOUNTAIN RD,WOODSTOCK
369,CHEROKEE,28051,6659 BELLS FERRY RD,WOODSTOCK
370,CHEROKEE,28036,6409 BELLS FERRY RD,WOODSTOCK
371,CHEROKEE,28077,1375 PUCKETT RD,WALESKA
372,CHEROKEE,28081,201 CLUBHOUSE DRIVE,CANTON
373,CHEROKEE,28204,253 SHILOH CHURCH RD,DAWSONVILLE
374,CHEROKEE,28080,895 KNOX BRIDGE HWY,WHITE
375,CHEROKEE,28083,7032 HUNTERS RIDGE,WOODSTOCK
376,CHEROKEE,28082,800 WOODLAND PKWY,WOODSTOCK
377,CHEROKEE,28084,1780 A J LAND RD,CANTON
378,CHEROKEE,28076,4625 HIGHWAY 92,ACWORTH
379,CHEROKEE,28209,150 RIDGEWALK PKWY,WOODSTOCK
380,CHEROKEE,28085,2010 TOWNE LAKE HILLS SOUTH DR,WOODSTOCK
381,CLARKE,29001,225 NEWTON BRIDGE ROAD,ATHENS
382,CLARKE,29002,2025 BAXTER STREET,ATHENS
383,CLARKE,29007,775 EAST BROAD STREET,ATHENS
384,CLARKE,29038,4460 LEXINGTON ROAD,ATHENS
385,CLARKE,29003,3220 S BARNETT SHOALS ROAD,ATHENS
386,CLARKE,29008,1300 CEDAR SHOALS DR,ATHENS
387,CLARKE,29004,757 NORTH CHASE STREET,ATHENS
388,CLARKE,29016,000 ENTER BAXTER ST. PARKING LOT,ATHENS
389,CLARKE,29009,1700 CLEVELAND ROAD,BOGART
390,CLARKE,29010,1198 S MILLEDGE AVE,ATHENS
391,CLARKE,29011,900 OGLETHORPE AVENUE,ATHENS
392,CLARKE,29012,2350 BARNETT SHOALS RD,ATHENS
393,CLARKE,29015,900 GAINES SCHOOL ROAD,ATHENS
394,CLARKE,29005,3700 ATLANTA HWY,ATHENS
395,CLARKE,29013,715 FOURTH STREET,ATHENS
396,CLARKE,29014,2300 DANIELSVILLE ROAD,ATHENS
397,CLARKE,29017,293 GRAN ELLEN DRIVE,ATHENS
398,CLARKE,29036,1150 OGLETHORPE AVENUE,ATHENS
399,CLARKE,29019,297 HOYT STREET,ATHENS
400,CLARKE,29021,1900 TIMOTHY ROAD,ATHENS
401,CLARKE,29037,780 TIMOTHY ROAD,ATHENS
402,CLARKE,29023,1450 WHIT DAVIS RD,ATHENS
403,CLARKE,29024,555 QUAILWOOD DRIVE,ATHENS
404,CLARKE,29026,000 MARIGOLD LANE,WINTERVILLE
405,CLAY,30009,159 WILSON.,FORT GAINES
406,CLAY,30009,159 WILSON.,FORT GAINES
407,CLAY,30009,159 WILSON.,FORT GAINES
408,CLAY,30009,159 WILSON.,FORT GAINES
409,CLAY,30009,159 WILSON.,FORT GAINES
410,CLAYTON,31015,6475 MOUNT ZION BLVD,MORROW
411,CLAYTON,31026,1842 LAKE JODECO RD,JONESBORO
412,CLAYTON,31053,93 VALLEY HILL ROAD SW,RIVERDALE
413,CLAYTON,31001,3187 REX ROAD,REX
414,CLAYTON,31002,4199 OLD ROCKCUT ROAD,CONLEY
415,CLAYTON,31085,2352 OLD REX MORROW ROAD,ELLENWOOD
416,CLAYTON,31003,216 STOCKBRIDGE RD,JONESBORO
417,CLAYTON,31004,5500 REYNOLDS RD,FOREST PARK
418,CLAYTON,31005,9771 POSTON RD,JONESBORO
419,CLAYTON,31006,120 ORIOLE DRIVE,JONESBORO
420,CLAYTON,31007,1500 NORMAN DRIVE,COLLEGE PARK
421,CLAYTON,31062,6337 GEORGIA 42,REX
422,CLAYTON,31008,7013 CHURCH ST,RIVERDALE
423,CLAYTON,31012,7810 HIGHWAY 85,RIVERDALE
424,CLAYTON,31071,5823 TRAMMELL ROAD,MORROW
425,CLAYTON,31080,3675 STEELE ROAD,ELLENWOOD
426,CLAYTON,31082,11808 PANHANDLE ROAD,HAMPTON
427,CLAYTON,31017,930 FINLEY DR,FOREST PARK
428,CLAYTON,31019,5212 WEST ST,FOREST PARK
429,CLAYTON,31020,6712 W FAYETTEVILLE RD,RIVERDALE
