,County,Vote Center ID,Address,City,Latitude,Longitude
289,CHATHAM,25043,2 SAINT THOMAS AVE,SAVANNAH,31.983662,-81.057753
290,CHATHAM,25066,1599 CHATHAM PARKWAY,GARDEN CITY,32.074533,-81.161682
291,CHATHAM,25067,400 PENNSYLVANIA AVENUE,SAVANNAH,32.06268,-81.05612
292,CHATHAM,25077,707 LITTLE NECK ROAD,SAVANNAH,32.017024,-81.264648
293,CHATHAM,25076,309 TIBET AVE,SAVANNAH,31.990231,-81.136436
294,CHATHAM,25137,1950 CHATHAM PARKWAY,SAVANNAH,32.043886,-81.16344
295,CHATHAM,25068,3025 BULL ST,SAVANNAH,32.049666,-81.104224
296,CHATHAM,25052,4929 PINELAND DR,SAVANNAH,32.044739,-81.191937
297,CHATHAM,25070,50 DIAMOND CAUSEWAY,SAVANNAH,31.94206,-81.056702
298,CHATHAM,25071,54 DIAMOND CAUSEWAY,SAVANNAH,31.941516,-81.055049
299,CHATHAM,25072,52 DIAMOND CAUSEWAY,SAVANNAH,31.937158,-81.052083
300,CHATHAM,25074,5502 SKIDAWAY RD,SAVANNAH,32.017021,-81.07521
301,CHATHAM,25112,1381 DEAN FOREST RD,SAVANNAH,32.05951,-81.20972
302,CHATHAM,25007,9114 WHITEFIELD AVE,SAVANNAH,31.979573,-81.105106
303,CHATHAM,25079,3 WESTRIDGE RD,SAVANNAH,31.940445,-81.049982
304,CHATHAM,25081,590 WALTHOUR RD,SAVANNAH,32.010995,-80.958105
305,CHATHAM,25073,5100 WATERS AVE,SAVANNAH,32.029253,-81.091454
306,CHATHAM,25063,20 E GORDON ST,SAVANNAH,32.071,-81.094084
307,CHATHAM,25016,5411 SKIDAWAY RD,SAVANNAH,32.018916,-81.075837
308,CHATHAM,25084,8511 WATERS AVE,SAVANNAH,31.990133,-81.106221
309,CHATHAM,25083,3000 BEE RD,SAVANNAH,32.041502,-81.076068
310,CHATHAM,25017,8912 WHITEFIELD AVENUE,SAVANNAH,31.982626,-81.103825
311,CHATHAM,25085,2821 RIVER DR,THUNDERBOLT,32.031871,-81.050661
312,CHATHAM,25088,2323 OGEECHEE RD,SAVANNAH,32.058397,-81.115262
313,CHATHAM,25101,12391 MERCY BLVD,SAVANNAH,31.98078,-81.154293
314,CHATHAM,25213,204 FIFTH ST,TYBEE ISLAND,32.011601,-80.845396
315,CHATHAM,25091,909 EAST BOLTON ST,SAVANNAH,32.062632,-81.08265
316,CHATHAM,25092,1110 MAY ST,SAVANNAH,32.066346,-81.104917
317,CHATHAM,25038,10710 WHITE BLUFF RD,SAVANNAH,31.985439,-81.128905
318,CHATHAM,25096,1900 LINCOLN STREET,SAVANNAH,32.057306,-81.095774
319,CHATHAM,25098,450 NORTH CROMWELL RD,SAVANNAH,32.005672,-80.98855
320,CHATHAM,25049,195 WILMINGTON ISLAND RD,SAVANNAH,32.006549,-80.987703
321,CHATHAM,25099,12521 WHITE BLUFF RD,SAVANNAH,31.97205,-81.134213
322,CHATHAM,25100,302 BRIARCLIFF CIRCLE,SAVANNAH,31.97475,-81.140741
